verse-number	original-word	translated-word	not-confirmed	translations	headword
21	qoi	quoi			
21	et	et		et, ni, Et	
21	par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
21	quel	quelle		quel, quelle	
21	mesetance	embrouille			
22	Fu	il y a eu		fut, était, a été, furent, il y a eu	
22	entre	entre		entre, ensemble, avec	
22	eus	eux		eux, profit, culs	
22	.II.	deux			
22	la	la		la, là, là-bas, entendit, nos	
22	desfiance	défiance			
22	.				
23	Or	maintenant		maintenant, donc, alors, allez, là, or, Or, mais, à présent, par	
23	oez	écoutez			
23	,				
23	si	si		puis, si, ainsi, alors, aussi, si bien, tant, très, tellement, donc, et, pourtant, là, mais, beaucoup, sans, ainsi que, vraiment, ses, aussi vrai que	
23	ne	ne		ne, ni, ou, et, sans	
23	vos	vous		vous, vos, votre	
23	anuit	ennuit		cette nuit, ennuit	
23	.				
24	Je	je		je, moi	
24	vos	vous		vous, vos, votre	
24	conteré	vais raconté			
24	par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
24	deduit	plaisir		divertissement, divertit, plaisir	
25	Conment	comment		comment, quoi	
25	il	ils		il, ils, lui	
25	vindrent	sont arrivés			
25	en	en		en, dans, sur, à, de, dans le, on, au	
25	avant	avant		en avant, devant, avant, encore, d'abord	
25	,				
26	Si/si_con	ainsi que		ainsi que, alors que, dés que	
26	con/si_con	_EMPTY_			
26	je	je		je, moi	
26	l'ai	l'ai			
26	trouvé	trouvé			
26	lisant	lisant			
26	,				
27	Qui	qui		qui, que, celui qui, car, quelqu'un qui, quiconque	
27	fu	furent		fut, était, a été, furent, il y a eu	
27	Renart	Renart			
27	et	et		et, ni, Et	
27	Ysengrin	Ysengrin			
27	.				
28	Je	je		je, moi	
28	trovai	ai trouvé		trouvai, ai trouvé	
28	ja	jadis		jamais, déjà, vraiment, jadis, même, maintenant, eh bien	
28	en	dans		en, dans, sur, à, de, dans le, on, au	
28	.I.	un		un, une	
28	escrin	reliquaire			
29	.I.	un		un, une	
29	livre	livre			
29	:				
29	Aucupre	Aucupre			
29	avoit	avait			
29	non	nom		non, nom, pour nom	
29	.				
30	La	là		la, là, là-bas, entendit, nos	
30	trovai	trouvai		trouvai, ai trouvé	
30	je	je		je, moi	
30	mainte	de nombreux		maintes, de nombreux	
30	reson	récits		raison, langue, récits	
31	Et	et		et, ni, Et	
31	de	sur		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
31	Renart	Renart			
31	et	et		et, ni, Et	
31	d'autre	d'autre		d'autres, d'autre	
31	chose	chose			
32	Dont	dont		dont, donc, alors, d'où, donne, si	
32	l'en	l'on		l'on, l'en, lui en	
32	doit	doit		doit, doigt	
32	bien	bien		bien, bon, béni, bon choix, bienveillance, vrai	
32	parler	parler			
32	et	et		et, ni, Et	
32	ose	ose			
32	.				
33	A	à côté de		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
33	une	une			
33	grant	grande		grand, grande, gros, bon, toute	
33	letre	lettre		lettre, récit	
33	vremeille	vermillon		vermeille, vermillon	
33	,				
34	La	là		la, là, là-bas, entendit, nos	
34	trovai	trouvai		trouvai, ai trouvé	
34	je	je		je, moi	
34	mainte	maintes		maintes, de nombreux	
34	merveille	merveilles		étonne, miracle, étonnant, merveille, prodiges, demande, étonnement, prodige, merveilles, émerveille	
34	.				
35	Se	si		se, si, que, aussi vrai que, le, sais, ainsi	
35	je	je		je, moi	
35	ne	ne		ne, ni, ou, et, sans	
35	la	la		la, là, là-bas, entendit, nos	
35	trovasse	avais trouvé			
35	el	dans le		dans le, elle, autre chose, sur le, le, à le, en le, au	
35	livre	livre			
35	,				
36	Je	je		je, moi	
36	tenisse	aurais tenu			
36	celui	celui		celui, lui, personne	
36	por	pour		pour, par, à cause de, parce, à propos, à cause, puis, vers	
36	yvre	ivre			
37	Qui	qui		qui, que, celui qui, car, quelqu'un qui, quiconque	
37	dite	dit		dite, dit	
37	eüst	aurait			
37	tele	telle		telle, certaine	
37	aventure	aventure		aventure, hasard, risque, occasion	
37	,				
38	Mes	mais		mais, plus, mes, mon, encore, désormais, pourtant, auparavant	
38	l'en	l'on		l'on, l'en, lui en	
38	doit	doit		doit, doigt	
38	croire	croire			
38	l'escripture	les écritures		le livre, les écritures	
38	.				
39	A	de		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
39	desenor	honte		déshonneur, honte	
39	muert	meurt			
39	a	à		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
39	bon	bon		bon, bien	
39	droit	droit		droit, raison, justice, directement	
40	Qui	celui qui		qui, que, celui qui, car, quelqu'un qui, quiconque	
40	n'ainme	n'aime pas			
40	livre	livre			
40	ne	ni		ne, ni, ou, et, sans	
40	ne	ne		ne, ni, ou, et, sans	
40	croit	croit			
40	.				
41	Aucupre	Aucupre			
41	dit	dit		dit, parlé	
41	en	dans		en, dans, sur, à, de, dans le, on, au	
41	cele	cette		cette, celle, celle-ci, ce	
41	letre	récit		lettre, récit	
42	—				
42	Bien	béni		bien, bon, béni, bon choix, bienveillance, vrai	
42	ait	soit		ait, soit, a	
42	de	de		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
42	Dieu	Dieu			
42	qui	celui qui		qui, que, celui qui, car, quelqu'un qui, quiconque	
42	l'i	l'y			
42	fist	a fait		a fait, fit, fait, agit	
42	metre	mettre			
42	!				
42	—				
43	Come	comment		comment, comme, que	
43	Diex	Dieu			
43	ot	eut		avait, entend, a eu, a, il y a eu, eu, eut	
43	de	du		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
43	paradis	paradis			
44	Et	et		et, ni, Et	
44	Adam	Adam			
44	et	et		et, ni, Et	
44	Evam	Ève			
44	fors	hors		dehors, hors, sauf, excepté, fort, en forme, forte, en dehors de, en dehors	
44	mis	mis			
45	Por	par		pour, par, à cause de, parce, à propos, à cause, puis, vers	
45	ce	ce		ce, ça, lui, cela, ceci, le, il	
45	qu'il	qu'ils		qu'il, qu'ils, parce qu'il, sans qu'il, quand il, ce qu'il	
45	orent	eurent			
45	trespassé	transgressé			
46	Ce	ce		ce, ça, lui, cela, ceci, le, il	
46	qu'il	qu'il		qu'il, qu'ils, parce qu'il, sans qu'il, quand il, ce qu'il	
46	lor	leur			
46	avoit	avait			
46	conmandé	ordonné		ordonné, recommandé, commandement	
46	.				
47	Pitiez	pitié			
47	l'en	lui en		l'on, l'en, lui en	
47	prist	prit		prit, se met	
47	,				
47	si	alors		puis, si, ainsi, alors, aussi, si bien, tant, très, tellement, donc, et, pourtant, là, mais, beaucoup, sans, ainsi que, vraiment, ses, aussi vrai que	
47	lor	leur			
47	donna	donna			
48	Une	une			
48	verge	verge			
48	,				
48	si	puis		puis, si, ainsi, alors, aussi, si bien, tant, très, tellement, donc, et, pourtant, là, mais, beaucoup, sans, ainsi que, vraiment, ses, aussi vrai que	
48	lor	leur			
48	mostra	expliqua			
49	Quant	lorsque		quand, comme, autant, lorsque	
49	il	ils		il, ils, lui	
49	de	de		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
49	riens	quelque chose		rien, chose, quelque chose	
49	mestier	besoin		besoin, métier, utile, façon, travail, utilité, nécessaire, corporation	
49	avroient	auraient			
49	,				
50	De	avec		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
50	cele	cette		cette, celle, celle-ci, ce	
50	verge	verge			
50	en	dans		en, dans, sur, à, de, dans le, on, au	
50	mer	mer			
50	ferroient	frappent			
50	.				
51	Adam	Adam			
51	tint	tint		tient, prend, tint	
51	la	la		la, là, là-bas, entendit, nos	
51	verge	verge			
51	en	dans		en, dans, sur, à, de, dans le, on, au	
51	sa	sa		sa, avec	
51	main	main		main, matin	
51	,				
52	En	dans		en, dans, sur, à, de, dans le, on, au	
52	mer	mer			
52	feri	frappa		frappa, enfonça, frappe, jeta, a frappé, enfonce	
52	devant	devant		devant, avant, au devant	
52	Evain	Ève			
52	.				
53	Si/si_tost	aussitôt		aussitôt, aussi vite, si tôt, si vite	
53	tost/si_tost	_EMPTY_			
53	con	que		que, comme, comment, car, avec, con, lorsque	
53	en	dans		en, dans, sur, à, de, dans le, on, au	
53	la	la		la, là, là-bas, entendit, nos	
53	mer	mer			
53	feri	a frappé		frappa, enfonça, frappe, jeta, a frappé, enfonce	
53	,				
54	Une	une			
54	brebiz	brebis			
54	fors	dehors		dehors, hors, sauf, excepté, fort, en forme, forte, en dehors de, en dehors	
54	en	en		en, dans, sur, à, de, dans le, on, au	
54	sailli	jaillit		bondit, sauta, saute, jaillit	
54	.				
55	Lors	alors			
55	dist	dit		dit, a parlé, a dit, se dit	
55	Adam	Adam			
55	:				
55	«				
55	Dame	madame		dame, mère, madame	
55	,				
55	prenez	prenez			
56	Ceste	cette		cette, celle-ci	
56	brebiz	brebis			
56	,				
56	si	puis		puis, si, ainsi, alors, aussi, si bien, tant, très, tellement, donc, et, pourtant, là, mais, beaucoup, sans, ainsi que, vraiment, ses, aussi vrai que	
56	la	la		la, là, là-bas, entendit, nos	
56	gardez	gardez		prenez soin de, gardez	
56	:				
57	Tant	beaucoup		tant, jusqu'à, tellement, assez, autant, beaucoup	
57	vos	vous		vous, vos, votre	
57	donra	donnera			
57	let	lait		lait, laisse, injure, renonce	
57	et	et		et, ni, Et	
57	fronmage	fromage			
57	.				
58	Assez	suffisamment		beaucoup, assez, suffisamment, fort	
58	i	en		y, en, là	
58	avrons	auront			
58	compenage	nourriture			
58	.				
58	»				
59	Evain	Ève			
59	en	dans		en, dans, sur, à, de, dans le, on, au	
59	son	son		son, sien, haut, ses, air, à lui	
59	cuer	coeur		cœur, coeur, son courage	
59	porpensoit	pensait			
60	Que	que		que, car, quoi, pour que, pendant, alors, qui, ce, ce que, comme, à cause de, lorsque, sans que, alors que	
60	s'ele	si elle		si elle, comme elle	
60	encor	encore		encore, de même, en outre	
60	une	une			
60	en	dans		en, dans, sur, à, de, dans le, on, au	
60	avoit	avait			
60	,				
61	Plus	plus		plus, mieux	
61	bele	belle		belle, chère	
61	estroit	serait			
61	la	la		la, là, là-bas, entendit, nos	
61	compaingnie	compagnie		compagnie, compagnon	
61	.				
62	Ele	elle			
62	a	a		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
62	la	la		la, là, là-bas, entendit, nos	
62	verge	verge			
62	tost	aussitôt		vite, tôt, aussitôt	
62	saisie	saisi			
62	,				
63	En	dans		en, dans, sur, à, de, dans le, on, au	
63	la	la		la, là, là-bas, entendit, nos	
63	mer	mer			
63	feri	frappa		frappa, enfonça, frappe, jeta, a frappé, enfonce	
63	roidement	rudement			
63	:				
64	.I.	un		un, une	
64	leus	loup		loup, loups, lieu, endroit	
64	en	en		en, dans, sur, à, de, dans le, on, au	
64	saut	saute		saute, garde, saut, bond, jaillit, assaut, tour, aide, sauve	
64	,				
64	la	la		la, là, là-bas, entendit, nos	
64	brebiz	brebis			
64	prent	prend		prend, met	
64	.				
65	Grant	grande		grand, grande, gros, bon, toute	
65	aleüre	allure			
65	et	et		et, ni, Et	
65	grant	grande		grand, grande, gros, bon, toute	
65	galos	galop			
65	,				
66	S'en	s'en		s'en, si on	
66	va	va		va, donc	
66	li	le		lui, le, les, il, l', la, li, elle, ils, leur	
66	leus	loup		loup, loups, lieu, endroit	
66	fuiant	fuyant			
66	au	dans		au, dans, du, de, le	
66	bos	bois			
66	.				
67	Quant	quand		quand, comme, autant, lorsque	
67	Eve	Ève		Ève, eau	
67	vit	vit		vit, verge, bite	
67	qu'ele	qu'elle			
67	a	a		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
67	perdue	perdu			
68	Sa	sa		sa, avec	
68	brebiz	brebis			
68	,				
68	s'ele	comme elle		si elle, comme elle	
68	n'a	n'a pas		n'a pas, ni à, n'y a, n'a, ou en	
68	aüe	d'aide			
68	,				
69	Bret	se lamente		cri, se lamente	
69	et	et		et, ni, Et	
69	crie	crie		crie, crée	
69	forment	fortement		fortement, rudement, beaucoup, durement	
69	:				
69	«				
69	Ha	ha		ah, ha	
69	!				
69	ha	ha		ah, ha	
69	!				
69	»				
70	Adam	Adam			
70	la	la		la, là, là-bas, entendit, nos	
70	verge	verge			
70	reprise	repris			
70	a	a		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
70	,				
71	En	dans		en, dans, sur, à, de, dans le, on, au	
71	la	la		la, là, là-bas, entendit, nos	
71	mer	mer			
71	fiert	frappe			
71	par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
71	mautalent	colère		colère, dépit, animosité, irritation	
71	:				
72	.I.	un		un, une	
72	chien	chien			
72	en	en		en, dans, sur, à, de, dans le, on, au	
72	saut	saute		saute, garde, saut, bond, jaillit, assaut, tour, aide, sauve	
72	hastivement	hâtivement			
72	.				
73	Qu'il	quand il		qu'il, qu'ils, parce qu'il, sans qu'il, quand il, ce qu'il	
73	voit	voit			
73	le	le		le, lui, la	
73	leu	loup		loup, lieu, occasion, coin	
73	,				
73	si	puis		puis, si, ainsi, alors, aussi, si bien, tant, très, tellement, donc, et, pourtant, là, mais, beaucoup, sans, ainsi que, vraiment, ses, aussi vrai que	
73	lesse	d'un trait		laisse, d'un trait, jet	
73	corre	court		courir, bâton de coudrier, court	
74	Por	vers		pour, par, à cause de, parce, à propos, à cause, puis, vers	
74	la	la		la, là, là-bas, entendit, nos	
74	brebiz	brebis			
74	qu'il	qu'il		qu'il, qu'ils, parce qu'il, sans qu'il, quand il, ce qu'il	
74	velt	veut			
74	rescorre	délivrer		reprendre, délivrer	
74	.				
75	Il	ils		il, ils, lui	
75	li	la		lui, le, les, il, l', la, li, elle, ils, leur	
75	resquest	réclame			
75	:				
75	mout	beaucoup		très, beaucoup, fort, trop, longtemps, tout, plus	
75	a	avec		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
75	enviz	mauvaise grâce			
76	La	la		la, là, là-bas, entendit, nos	
76	laisse	laisse			
76	li	le		lui, le, les, il, l', la, li, elle, ils, leur	
76	leus	loup		loup, loups, lieu, endroit	
76	la	la		la, là, là-bas, entendit, nos	
76	brebiz	brebis			
76	;				
77	Si	puis		puis, si, ainsi, alors, aussi, si bien, tant, très, tellement, donc, et, pourtant, là, mais, beaucoup, sans, ainsi que, vraiment, ses, aussi vrai que	
77	feroit	ferait		ferait, frappait	
77	il	ils		il, ils, lui	
77	encor	de même		encore, de même, en outre	
77	demain	demain			
77	,				
78	S'il	s'il			
78	la	la		la, là, là-bas, entendit, nos	
78	tenoit	tenait			
78	a	en		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
78	bois	bois			
78	n'a	ou en		n'a pas, ni à, n'y a, n'a, ou en	
78	plain	plaine		plein, plaine	
78	.				
79	Por	par		pour, par, à cause de, parce, à propos, à cause, puis, vers	
79	ce	ce		ce, ça, lui, cela, ceci, le, il	
79	que	que		que, car, quoi, pour que, pendant, alors, qui, ce, ce que, comme, à cause de, lorsque, sans que, alors que	
79	mesfet	perdu		perdu, mal agi, méfait, nui, causé du tort, maltraite, mal fait, fait de mal	
79	ot	a		avait, entend, a eu, a, il y a eu, eu, eut	
79	li	le		lui, le, les, il, l', la, li, elle, ils, leur	
79	leus	loup		loup, loups, lieu, endroit	
79	,				
80	Au	dans		au, dans, du, de, le	
80	bois	bois			
80	s'en	s'en		s'en, si on	
80	foui	fui		fuit, fui	
80	tot	tout		tout, tous	
80	honteus	honteux			
80	.				
81	Adam	Adam			
81	ot	avait		avait, entend, a eu, a, il y a eu, eu, eut	
81	son	son		son, sien, haut, ses, air, à lui	
81	chien	chien			
81	et	et		et, ni, Et	
81	sa	sa		sa, avec	
81	beste	bête			
81	,				
82	Si	alors		puis, si, ainsi, alors, aussi, si bien, tant, très, tellement, donc, et, pourtant, là, mais, beaucoup, sans, ainsi que, vraiment, ses, aussi vrai que	
82	en	en		en, dans, sur, à, de, dans le, on, au	
82	ot	eu		avait, entend, a eu, a, il y a eu, eu, eut	
82	grant	grand		grand, grande, gros, bon, toute	
82	joie	joie			
82	et	et		et, ni, Et	
82	grant	grand		grand, grande, gros, bon, toute	
82	feste	plaisir		fête, faîte, plaisir	
82	.				
83	Selonc	selon		selon, le long, à côté	
83	la	la		la, là, là-bas, entendit, nos	
83	sentence	opinion			
83	del	dans le		de le, du, dans le, de	
83	livre	livre			
83	,				
84	Ses	ces		ses, sais, les, ces, son	
84	.II.	deux			
84	bestes	bêtes			
84	ne	ne		ne, ni, ou, et, sans	
84	puent	peuvent			
84	vivre	vivre			
85	Ne	ni		ne, ni, ou, et, sans	
85	durer	résister		durer, tarder, résister	
85	mie	très		pas, point, miette, pas du tout, milieu, du tout, rien du tout, rien, très	
85	longuement	longtemps			
85	,				
86	S'eles	si elles			
86	n'estoient	n'étaient pas			
86	avec	avec			
86	gent	personnes		gent, joli, aimable, personnes	
86	.				
87	Ne	ne		ne, ni, ou, et, sans	
87	savez	savez		savez, connaissez	
87	beste	bête			
87	porpenser	imaginer de		décider, se dire, imaginer de	
88	Miex	d'avantage		mieux, plus, d'avantage	
88	ne	ne		ne, ni, ou, et, sans	
88	s'en	s'en		s'en, si on	
88	puisse	puisse			
88	consievrer	priver			
88	.				
89	Toutes	toutes			
89	les	les		les, celles de, à côté, laisse, héritage, leur, légué	
89	foiz	fois		fois, foi	
89	c'Adam	qu'Adam			
89	feri	frappa		frappa, enfonça, frappe, jeta, a frappé, enfonce	
90	En	dans		en, dans, sur, à, de, dans le, on, au	
90	la	la		la, là, là-bas, entendit, nos	
90	mer	mer			
90	,				
90	que	que		que, car, quoi, pour que, pendant, alors, qui, ce, ce que, comme, à cause de, lorsque, sans que, alors que	
90	beste	bête			
90	en	en		en, dans, sur, à, de, dans le, on, au	
90	issi	sortit		ainsi, ici, sortit, sort	
90	,				
91	Cele	cette		cette, celle, celle-ci, ce	
91	beste	bête			
91	si	alors		puis, si, ainsi, alors, aussi, si bien, tant, très, tellement, donc, et, pourtant, là, mais, beaucoup, sans, ainsi que, vraiment, ses, aussi vrai que	
91	retenoient	gardaient			
91	,				
92	Quele	quelle			
92	que	que		que, car, quoi, pour que, pendant, alors, qui, ce, ce que, comme, à cause de, lorsque, sans que, alors que	
92	fust	fut		fut, serait, fût, était	
92	,				
92	et	et		et, ni, Et	
92	aprivoient	apprivoisaient			
92	.				
93	Celes	celles			
93	que	que		que, car, quoi, pour que, pendant, alors, qui, ce, ce que, comme, à cause de, lorsque, sans que, alors que	
93	Eve	Ève		Ève, eau	
93	en	en		en, dans, sur, à, de, dans le, on, au	
93	fist	fit		a fait, fit, fait, agit	
93	issir	sortir			
93	,				
94	Ne	ne		ne, ni, ou, et, sans	
94	pot	peut		peut, pot, a pu	
94	il	ils		il, ils, lui	
94	onques	jamais		jamais, toujours, déjà	
94	retenir	retenir			
94	.				
95	Si/si_tost	aussitôt		aussitôt, aussi vite, si tôt, si vite	
95	tost/si_tost	_EMPTY_			
95	con	que		que, comme, comment, car, avec, con, lorsque	
95	de	de		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
95	la	la		la, là, là-bas, entendit, nos	
95	mer	mer			
95	issoient	sortaient			
95	,				
96	Aprés	après		après, derrière	
96	le	le		le, lui, la	
96	leu	loup		loup, lieu, occasion, coin	
96	au	dans		au, dans, du, de, le	
96	bois	bois			
96	aloient	allaient			
96	.				
97	Les	celles de		les, celles de, à côté, laisse, héritage, leur, légué	
97	Evain	Ève			
97	asauvagisoient	devenaient sauvages			
97	,				
98	Et	et		et, ni, Et	
98	les	celles de		les, celles de, à côté, laisse, héritage, leur, légué	
98	Adam	Adam			
98	aprivoisoient	s'apprivoisaient			
98	.				
99	Entre	entre		entre, ensemble, avec	
99	les	les		les, celles de, à côté, laisse, héritage, leur, légué	
99	autres	autres			
99	en	en		en, dans, sur, à, de, dans le, on, au	
99	issi	sortit		ainsi, ici, sortit, sort	
100	Le	le		le, lui, la	
100	gorpil	goupil			
100	,				
100	si	puis		puis, si, ainsi, alors, aussi, si bien, tant, très, tellement, donc, et, pourtant, là, mais, beaucoup, sans, ainsi que, vraiment, ses, aussi vrai que	
100	asauvagi	devint sauvage			
100	.				
101	Rous	roux		roux, rouquin	
101	ot	avait		avait, entend, a eu, a, il y a eu, eu, eut	
101	le	le		le, lui, la	
101	poil	poil			
101	conme	comme			
101	Renart	Renart			
101	,				
102	Mout	très		très, beaucoup, fort, trop, longtemps, tout, plus	
102	par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
102	fu	était		fut, était, a été, furent, il y a eu	
102	cointes	habile			
102	et	et		et, ni, Et	
102	gaingnart	âpre au gain			
102	:				
103	Par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
103	son	son		son, sien, haut, ses, air, à lui	
103	sens	intelligence		intelligence, sens, manière, Sens, sagesse, avis	
103	totes	toutes			
103	decevoit	trompait			
104	Les	les		les, celles de, à côté, laisse, héritage, leur, légué	
104	bestes	bêtes			
104	quanqu'il	autant qu'il			
104	en	en		en, dans, sur, à, de, dans le, on, au	
104	trovoit	trouvait			
104	.				
105	Icil	ce		celui-là, ce	
105	gorpil	goupil			
105	nos	nous		nous, nos	
105	senefie	signifie pour		signifie, signifie pour	
106	Renart	Renart			
106	qui	qui		qui, que, celui qui, car, quelqu'un qui, quiconque	
106	tant	beaucoup		tant, jusqu'à, tellement, assez, autant, beaucoup	
106	sot	sait		sait, sot, connaît, se rendit compte, sache	
106	de	de		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
106	mestrie	sciences			
106	.				
107	Touz	tous		tous, tout	
107	ceus	ceux			
107	qui	qui		qui, que, celui qui, car, quelqu'un qui, quiconque	
107	sont	sont		sont, ont été	
107	d'engin	de ruse			
107	et	et		et, ni, Et	
107	d'art	de malice			
108	Sont	sont		sont, ont été	
108	mes	désormais		mais, plus, mes, mon, encore, désormais, pourtant, auparavant	
108	tuit	tous		tous, tout	
108	apelé	appelés			
108	Renart	Renart			
108	.				
