"verse-number"	"original-verse"	"translated-verse"	"original-verse-to-confirm"	"translated-verse-to-confirm"	"episode-number"	"is-last-verse"	"top-margin"	"indentation"	"story-title"	"episode-title"	"url"	"image-src"	"image-href"	"section-original-title"	"section-translated-title"	"vol-1-fixes (fhs)"	"vol-2-fixes (mc)"
73	"Qu'il voit le leu, si lesse corre"	"Quand il voit le loup, il court d'un trait"	"si lesse corre"	"il court avec beaucoup d'entrain"													
74	"Por la brebiz qu'il velt rescorre."	"vers la brebis qu'il veut délivrer."															
75	"Il li resquest : mout a enviz"	"Il la réclame : avec beaucoup de mauvaise grâce"															
76	"La laisse li leus la brebiz ;"	"le loup lui laisse là la brebis;"															
77	"Si feroit il encor demain,"	"mais il ferait bien de même demain"															
78	"S'il la tenoit a bois n'a plain."	"s'il la tenait en un bois ou une plaine."															
79	"Por ce que mesfet ot li leus,"	"Puisque le loup a perdu,"															
80	"Au bois s'en foui tot honteus."	"il s'enfuit dans le bois tout honteux."				"x"											
81	"Adam ot son chien et sa beste,"	"Adam a son chien et sa bête,"			2		2	"x"		"La naissance de Renart"	"2009/03/prologue-la-naissance-de-renart.html"	"https://3.bp.blogspot.com/-_NhEavtl6_Y/V-_SlXeF3gI/AAAAAAAAHpM/d_aIzm17xIY3OIcRFL19_7WGJnADfGurwCLcB/s320/01c-naissance-de-renart.jpg"					
82	"Si en ot grant joie et grant feste."	"il en ressent grand bonheur et grand plaisir."	"feste"	"amusement / plaisanterie"													
83	"Selonc la sentence del livre,"	"Selon l'opinion exprimée dans le livre,"															
84	"Ses .II. bestes ne puent vivre"	"ses deux bêtes ne peuvent pas du tout vivre"															
85	"Ne durer mie longuement,"	"ni résister longtemps,"															
86	"S'eles n'estoient avec gent."	"si elles ne sont pas avec des personnes."															
87	"Ne savez beste porpenser"	"Vous ne sauriez imaginer de bête"	"Ne savez beste porpenser Miex ne s'en puisse consievrer"	"Vous ne sauriez imaginer de bête qui puisse s'en priver davantage."													
88	"Miex ne s'en puisse consievrer."	"qui puisse s'en priver davantage."															
89	"Toutes les foiz c'Adam feri"	"Toutes les fois qu'Adam frappe"															
90	"En la mer, que beste en issi,"	"dans la mer, et qu'une bête en sort,"															
91	"Cele beste si retenoient,"	"ils gardent cette bête,"															
92	"Quele que fust, et aprivoient."	"quelle qu'elle soit, et ils l'apprivoisent."															
93	"Celes que Eve en fist issir,"	"Celles qu'Ève en fait sortir,"															
94	"Ne pot il onques retenir."	"ils ne peuvent jamais les retenir;"															
95	"Si tost con de la mer issoient,"	"aussitôt qu'elles sortent de la mer,"															
96	"Aprés le leu au bois aloient."	"elles vont dans le bois à la suite du loup."															
97	"Les Evain asauvagisoient,"	"Celles d'Ève deviennent sauvages,"															
98	"Et les Adam aprivoisoient."	"et celles d'Adam s'apprivoisent."															
99	"Entre les autres en issi"	"Entre autres en sort"															
100	"Le gorpil, si asauvagi."	"le goupil, qui devient sauvage."															
101	"Rous ot le poil conme Renart,"	"Il a le poil roux comme Renart,"															
102	"Mout par fu cointes et gaingnart :"	"il est très habile et âpre au gain :"	"Mout par fu cointes et gaingnart"	"il était très élégant et de plus voleur"													
103	"Par son sens totes decevoit"	"par son intelligence il trompe"															
104	"Les bestes quanqu'il en trovoit."	"toutes les bêtes, autant qu'il en trouve."															
105	"Icil gorpil nos senefie"	"Goupil veut dire Renart pour nous,"															
106	"Renart qui tant sot de mestrie."	"car il connaît tant de tours."															
107	"Touz ceus qui sont d'engin et d'art"	"Tous ceux qui sont portés sur la ruse et la malice"															
108	"Sont mes tuit apelé Renart."	"sont désormais appelés Renart,"															
109	"Por Renart et por le gorpil"	"à cause de Renart le goupil."															
110	"Mout par sorent et cil et cil."	"Celui-ci et celui-là en connaissent énormément;"															
111	"Se Renart set genz conchïer,"	"si Renart sait se moquer des gens,"															
112	"Le gorpil bestes engingnier."	"le goupil sait tromper les bêtes."															
113	"Mout par furent bien d'un lignage"	"Vraiment, ils sont bien de la même race"															
114	"Et d'unes meurs et d'un corage."	"avec les mêmes mœurs et les mêmes désirs."	"d'unes meurs et d'un corage"	"de maturité équivalente avec la même intention"		"x"											
115	"Tout ensement de l'autre part"	"Tout pareillement, Ysengrin est d'autre part"	"Tot ensement de l'autre part Ysengrin"	"Tout pareillement, Ysengrin est d'autre part"	3			"x"		"Renart et Ysengrin, parents et amis"	"2009/03/prologue-renart-et-ysengrin-parents-et.html"	"https://2.bp.blogspot.com/-84zRSZE2yXM/V-_SltSGngI/AAAAAAAAHpU/Bgt4L7pU4JoEiFljba5l99kNKjaJJCsYwCLcB/s320/01d-renart-et-ysengrin.jpg"					
116	"Ysengrin li oncle Renart :"	"l'oncle de Renart :"															
117	"Le leu fet du gorpil neveu,"	"le loup fait du goupil son neveu,"															
118	"Et le gorpil oncle du leu."	"et le goupil du loup son oncle."															
119	"Sifaitement con je vos di,"	"Ainsi comme je vous le dis,"															
120	"Sont entre eus parent et ami :"	"ils sont entre eux parents et amis;"															
121	"Ne s'apartienent autrement,"	"ils ne sont proches autrement,"	"Ne s'apartienent autrement"	"ils ne sont proches d'aucune autre manière"													
122	"Se mes bons livres ne me ment."	"si mon bon livre ne me ment point."															
123	"Por ce que le gorpil disoit,"	"Parce que le goupil dit,"															
124	"Qant il avec le leu aloit :"	"quand il va avec le loup :"															
125	"« Biaus oncles, que volez vos fere ? »,"	"« Mon cher oncle, que voulez-vous faire ? »,"															
126	"Le voloit a s'amor atrere."	"il veut gagner son amitié."	"s'amor atrere"	"gagner son amour / gagner son amitié"													
127	"Li leus disoit par amor fine"	"Le loup parle avec une attention délicate"	"par amor fine"	"avec une attention délicate"													
128	"Au gorpil vers qui n'ot haïne."	"au goupil, à l'égard de qui il n'a aucune haine."															
129	"Par amistié s'entrapeloient"	"Par amitié, ils s'appellent"															
130	"Oncle et neveu quant se voient."	"oncle et neveu quand ils se voient."															
131	"A Renart puet on bien aprendre"	"On peut facilement comprendre de Renart"	"A Renart puet on bien aprendre Grant sens"	"On peut facilement comprendre de Renart la grande intelligence"													
132	"Grant sens qui bien i velt entendre,"	"la grande intelligence, à qui veut bien l'entendre;"															
133	"Car cil Renart nos senefie"	"or ce Renart représente pour nous,"															
134	"Ceus qui sont plain de male vie,"	"ceux qui sont plein de mauvaise vie,"															
135	"Qui ne finent del agaitier"	"qui n'arrêtent pas de chercher"															
136	"Con puissent autrui engingnier ;"	"comment ils peuvent tromper autrui."															
137	"Ne ja le fel liez ne sera"	"Mais le félon ne sera pas content"															
138	"Le jor q'autrui n'engingnera."	"le jour où il ne trompera pas autrui."															
139	"A l'engingnier li sont honi"	"Ils sont égaux devant le trompeur :"	"A l'engingnier li sont honi"	"Ils sont égaux devant le trompeur"													
140	"Privé, estrange et ami."	"intimes, étrangers, et amis."															
141	"Ja .I. sol n'en espargnera,"	"Il n'en épargnera jamais un seul,"															
142	"Ja si chier ami ne sera."	"même un ami très cher ne le sera pas."															
143	"Et avec cele felonnie"	"En plus de cette félonie"															
144	"A il le cuer tot plain d'envie,"	"il a le cœur tout plein d'envie,"															
145	"Et envie est cele racinne"	"et l'envie est cette racine"															
146	"Ou touz li max pranent orine."	"d'où tous les maux prennent leur origine."															
147	"Avec felonnie et envie"	"Avec la félonie et l'envie"															
148	"Escharsetez est lor amie,"	"la pingrerie est leur amie,"	"Escharsetez"	"pingrerie"													
149	"Et escharsetez est tel chose"	"et la pingrerie est cette chose"															
150	"Que tout jors a la borse close."	"que d'avoir toujours la bourse close."															
151	"Escharsetez est une vice"	"La pingrerie est un vice"															
152	"Qui forment aime avarice."	"qui aime beaucoup l'avarice."															
153	"Avarice a le mont sorpris :"	"L'avarice s'est emparée du monde par surprise,"	"a le mont sorpris"	"s'est emparée du monde par surprise"													
154	"Cil est clamez dolent chaitis,"	"on est déclaré pauvre et malheureux,"															
155	"Se rente n'a, se il n'usure."	"si on n'a pas de rente, ou si on ne prête pas à usure."															
156	"Or ai passé outre mesure,"	"J'ai peut-être dépassé la mesure,"															
157	"Que cil qui les granz rentes ont,"	"pourtant c'est bien ceux qui ont de grosses rentes,"															
158	"Ce sont cil qui grant mal en font."	"qui causent de grands maux."															
159	"Mout en puet l'en vilment parler,"	"On pourrait en parler avec plus de mépris encore,"															
160	"Mes je n'ai soing de plus conter."	"mais je ne prendrai pas la peine d'en dire davantage."				"x"											
161	"Une riens vos voil conmencier :"	"Je veux maintenant vous raconter quelque chose."			4		2			"Balaam et son ânesse"	"2009/03/prologue-balaam-et-son-anesse.html"	"https://1.bp.blogspot.com/-DUeOj1NtkZM/V-_Slv3xuwI/AAAAAAAAHpY/lSyOXBkMIlkQI4FLRpj0zKTCAj-iDghJwCLcB/s320/01e-balam-et-anesse.jpg"					
162	"Ne vos devez esmerveillier,"	"Vous ne devez pas vous étonnez"															
163	"Se j'ai mis en cest mien traitié"	"si j'ai mis dans mon récit,"															
164	"Que de Renart ai conmencié,"	"que j'ai commencé sur Renart,"															
165	"Si con l'en parole d'autrui,"	"des propos sur d'autres personnes,"	"Si con l'en parole d'autrui"	"des propos sur d'autres personnes"													
166	"Con vos porroiz oïr encui"	"comme vous pouvez entendre"															
167	"De dant Renart et d'Ysengrin,"	"au sujet de maître Renart et Ysengrin."															
168	"Car ce content nostre voisin"	"Nos voisins racontent en effet"															
169	"Que une anesse parla ja"	"qu'une ânesse qu'un prophète chevauchait,"															
170	"Que .I. prophete chevaucha."	"parlait jadis."															
171	"Balaam l'oï apeler,"	"Je les ai entendu l'appeler Balaam,"															
172	"Por ce le sai ici nomer."	"c'est pourquoi je sais la nommer ici."															
173	"Bellaac .I. roi l'ot mené,"	"Bellaac, un roi, l'avait poussé"															
174	"Tant li ot pramis et donné,"	"tant il lui avait promis et donné,"															
175	"Par mautalent et par grant ire,"	"à maudire tout le peuple d'Israël"															
176	"Tout le pueple Israel maudire."	"avec grand courroux et colère."															
177	"Nostre sire nel volt soufrir,"	"Notre Seigneur ne voulait pas le permettre,"															
178	"Son ange fist devant venir,"	"il fit venir son ange au-devant."															
179	"A une bien trenchant espee"	"Avec son épée bien tranchante"															
180	"La voie a a celui veee."	"il barra la voie à celui-ci."															
181	"Cil point l'asne de l'aguillon"	"Le prophète piqua l'ânesse avec son aiguillon"															
182	"Par derriere seur le crepon,"	"par-derrière sur la croupe,"															
183	"Des esperons le destraingnoit,"	"il la forçait avec ses éperons,"															
184	"Et du chevestre le feroit."	"et la frappait avec son licol."															
185	"L'asne n'osoit avant aler,"	"L'ânesse n'osait pas avancer,"															
186	"Par force li covint parler,"	"à force elle finit par parler,"															
187	"Et Diex le volt qu'ele parla,"	"car Dieu voulait qu'elle parle,"															
188	"Et le prophete raconta :"	"et elle dit au prophète :"															
189	"« Di va, fait il, lesse m'ester,"	"« Allez, fait-elle, laisse moi tranquille,"															
190	"Diex ne me lesse avant aler. »"	"Dieu ne me laisse pas avancer. »"															
191	"Cil Diex, si li vient a plaisir,"	"Ce même Dieu, ainsi qu'il lui passe par l'esprit,"	"si li vient a plaisir"	"ainsi qu'il lui passe par l'esprit"													
192	"Puet encore bien consentir"	"peut bien à cette heure accorder"	"encore"	"à cette heure"													
193	"A parler les bestes sauvages,"	"aux bêtes sauvages de parler,"															
194	"Et les usuriers fere larges."	"et rendre les usuriers généreux."				"x"											
195	"Or avez bien oï a tant"	"Vous avez donc bien entendu jusque-là"	"a tant"	"jusque-là"	5			"x"	"Les jambons d'Ysengrin"	"La recommandation de Renart"	"2009/03/les-jambons-dysengrin-le-conseil-de.html"	"https://1.bp.blogspot.com/-c4yNGfuRHXw/V-_SlkDTujI/AAAAAAAAHpc/prwUJ-5Mi_sYkMXxeb1PTfM3J6kn4eU7QCLcB/s320/02a-ysengrin-et-les-jambons-robcorne.jpg"					
196	"Conment il sont venu avant"	"comment sont apparus"															
197	"Renart et Ysengrin li leus."	"Renart et Ysengrin le loup,"															
198	"Or redevez oïr des deus :"	"vous allez entendre à nouveau parler d'eux."															
199	"Je vos conteré de lor vie,"	"Je vais vous raconter une tranche de leur vie,"															
200	"Ce que j'en sai, une partie."	"ce que j'en connais."															
201	"Toz malades, plain de reancle,"	"Tout malade et plein de boutons,"	"reancle"	"boutons / abcès / chancres"													
202	"Vint .I. jor Renart chiés son oncle."	"Renart arrive un jour chez son oncle."															
203	"Dist Ysengrin : « Renart, q'as tu ?"	"Ysengrin dit : « Renart, qu'as-tu ?"															
204	"Mout te voi ore confondu. »"	"Je te vois là tout bouleversé. »"															
205	"Ce dist Renart : « Malades sui."	"Renart dit à celui-ci : « Je suis malade."															
206	"— Voire, biau niez, menjas tu hui ?"	"— Vraiment, cher neveu, as-tu mangé aujourd'hui ?"															
207	"— Nenil, sire, n'en ai talent."	"— Non, seigneur, je n'ai pas envie."															
208	"— Levez vos sus, dame Hersent,"	"— Levez-vous, dame Hersent,"															
209	"Fetes li .I. petit de haste"	"faites lui un petit rôti"	"petit de haste"	"petit rôti / petite brochette"													
210	"De .II. roignons et d'une rate. »"	"avec deux rognons et une rate. »"															
211	"Renart se seoit touz embrons,"	"Renart s'assoit tout courbé,"															
212	"Pensoit qu'il avoit fet bacons."	"et se dit que son oncle a fait des jambons."															
213	".I. petitet leva la teste,"	"Il lève un peu la tête,"															
214	".III. bacons vit pendre a la feste."	"et voit trois jambons pendre au faîte."															
215	"En sorriant as bacons dist :"	"Il dit en souriant aux jambons :"															
216	"« Mout par est fox qui la vos mist."	"« Il est complètement fou celui qui vous a mis là."															
217	"Haï ! biax oncles Ysengrin,"	"Hé ! cher oncle Ysengrin,"															
218	"Ja sont il tant malvez voisin."	"il y a maintenant tant de mauvais voisins."															
219	"Tiex puet la voz bacons veoir"	"Celui qui peut voir là vos jambons"															
220	"Qui en voudra sa part avoir !"	"voudra en avoir sa part !"															
221	"Isnelement les despendez,"	"Détachez les vite,"															
222	"Dites qu'en les vos a emblez. »"	"dites qu'on vous les a dérobés. »"															
223	"Dist Ysengrin : « N'en goutera"	"Ysengrin dit : « Je pense que quiconque les verra,"															
224	"Tiex, con je cuit, qui les verra. »"	"n'aura pas l'occasion d'en goûter. »"															
225	"Dont conmença Renart a rire :"	"Alors, Renart se mit à rire :"															
226	"« Nel porrez, dist il, escondire,"	"« Vous ne pourrez, dit-il, refuser"															
227	"Tiex hons vos em porroit rover. »"	"à quiconque pourrait vous en réclamer. »"	"Tiex hons"	"telle personne / quiconque"													
228	"Dist Ysengrin : « Lessiez ester."	"Ysengrin dit : « Arrête avec ça,"															
229	"Je n'ai frere, neveu ne niece"	"je n'ai ni frère, ni neveu, ni nièce"															
230	"Qui j'en donnasse une piece. »"	"à qui j'en donnerais un morceau. »"															
231	"Por lui le dist et por son pere"	"Il le dit pour lui, pour son père,"															
232	"Et por sa fame et por sa mere."	"pour sa femme, et pour sa mère."				"x"											
233	"Ne demora mie granment"	"Il ne se passe pas longtemps"			6			"x"		"Le vol des jambons"	"2009/03/les-jambons-dysengrin-le-vol-des.html"	"https://1.bp.blogspot.com/-xdilLEGX7to/V-_Sl9EgGdI/AAAAAAAAHpg/Bj4EyXwdAWAt5h0Nu3QZEp1TRhGS-kI8ACLcB/s320/02b-vol-des-jambons-samivel.jpg"					
234	"Que Renart vint tot coiement"	"avant que Renart vienne tout doucement"															
235	"En sa meson, quant il dormi ;"	"dans sa maison, quand il est en train de dormir,"															
236	"Tout coiement la descovri."	"et fasse tranquillement une ouverture."															
237	"Par tel vertu assaut ses cors,"	"Grâce à la vigueur de ses efforts répétés,"	"Par tel vertu assaut ses cors"	"Grâce à la vigueur de ses efforts répétés"													
238	"Les .III. bacons en gita fors."	"il en fait sortir les trois jambons à l'extérieur."															
239	"En sa meson les enporta"	"Il les emporte dans sa maison,"															
240	"Et par pieces les despeça,"	"puis les découpe en morceaux,"															
241	"En son lit les mist en l'estrain."	"et les met dans son lit, à l'intérieur de la paillasse."															
242	"Ysengrin est levez bien main,"	"Ysengrin se lève de bon matin."															
243	"Il vit sa meson descoverte"	"Il voit sa maison découverte"															
244	"Et de ses .III. bacons la perte."	"et constate la perte de ses trois jambons :"															
245	"« Ahi !, dist il, dame Hersent,"	"« Aïe ! dit-il, dame Hersent,"															
246	"Conchïé sonmes laidement. »"	"on s'est joué de nous outrageusement. »"															
247	"Ele saut sus conme desvee"	"Elle saute sur ses pattes comme une folle,"															
248	"Toute nue et eschevelee."	"toute nue et échevelée."															
249	"« Diex, dist ele, qui a ce fait ?"	"« Mon dieu, dit-elle, qui a fait ça ?"															
250	"Ci a estout donmage et lait. »"	"C'est là un dommage insensé et horrible. »"															
251	"Ne le sevent sor qui souchier,"	"Il ne savent qui soupçonner,"															
252	"N'a entre eus .II. que coroucier."	"il ne reste plus à tous deux qu'à se mettre en colère."															
253	"Conme ce vint aprés mengier,"	"Quand il a fini de manger,"															
254	"Renart s'en vint esbanoier"	"Renart s'en va s'amuser"															
255	"En la meson mout lieement,"	"dans leur maison tout joyeusement."															
256	"Son oncle trove mout dolent."	"Il trouve son oncle tout triste :"															
257	"« Oncle, dist il, que avez vos ?"	"« Mon oncle, dit-il, qu'avez-vous ?"															
258	"Pensis vos voi et corouços."	"Je vous vois pensif et irrité."															
259	"— Biau niez, dist il, bien sai de qoi."	"— Cher neveu, dit-il, il y a bien de quoi."															
260	"Perdu sont mi bacon tuit troi,"	"Mes jambons sont perdus, tous les trois,"															
261	"S'en ai au cuer dolor et ire."	"j'en ai le cœur plein de douleur et de colère. »"															
262	"— Oncle, dist il, or devez dire."	"— Oncle, dit-il, vous devez l'annoncer maintenant."															
263	"Se vos dites a val la rue"	"Si vous dites à travers la rue"															
264	"Que cele char aiez perdue,"	"que vous avez perdu cette viande,"															
265	"Puis ne vos en rovera mie"	"après ni parent, ni ami, ni amie"															
266	"Parent ne ami ne amie."	"ne vous en réclamera jamais."															
267	"— Biax niez, fet il, por voir te di,"	"— Cher neveu, fait-il, je te le dis pour de vrai,"															
268	"Perdu les ai, ce poise mi. »"	"je les ai perdus, et ça me pèse. »"															
269	"Renart respont : « Ainz n'oï tal :"	"Renart répond : « Je n'ai rien entendu de tel avant,"															
270	"Tiex se plaint n'a mie de mal."	"celui qui se plaint mais n'a pas du tout mal."															
271	"Bien sai qu'en sauf les avez mis"	"Je sais bien que vous les avez mis en sûreté"															
272	"Por vos parenz, por vos amis."	"par crainte de vos parents et amis."	"Por vos parenz"	"par crainte de vos parents"													
273	"— Di va, fet il, es tu gabierre ?"	"— Dis donc, fait-il, tu te moques ?"															
274	"Foi que tu doiz l'ame ton pere,"	"Par la foi que tu dois à l'âme de ton père,"	"Foi que tu doiz l'ame ton pere"	"Par la foi que tu dois à l'âme de ton père"													
275	"Et ne croiz tu ce que je di ?"	"tu ne crois donc pas ce que je dis ?"															
276	"— Tout tens dites, dist Renart, si."	"— Racontez quand même, dit Renart, continuez ainsi."															
277	"— Renart, ce dist dame Hersens,"	"— Renart, lui dit dame Hersent,"															
278	"Je cuit vos estes fors du sens."	"Je pense que vous n'êtes pas sensé;"															
279	"Se nos nes eüssons perduz,"	"si on ne les avait pas perdus,"															
280	"Ja escondit n'en fust renduz."	"jamais on n'en refuserait, fût-ce à un moine."	"Ja escondit n'en fust renduz"	"jamais on n'en refuserait, fût-ce à un moine"													
281	"— Dame, dist il, je le sai bien"	"— Dame, dit-il, je le sais bien"															
282	"Que mout savez d'art et d'engien."	"que vous avez beaucoup de malice et de ruse."															
283	"Nequedent tant i a de perte,"	"D'ailleurs, tellement il y a perte,"	"Nequedent"	"D'ailleurs"													
284	"Vo maison avez descoverte :"	"vous avez même découvert votre maison,"															
285	"Or dites par la en sont tret."	"dites maintenant qu'ils ont été tirés par là."															
286	"— Par Dieu, Renart, si sont il fet. »"	"— Par Dieu, Renart, les faits sont ainsi. »"															
287	"Renart respont : « Ce devez dire."	"Renart répond : « C'est ce que vous devez dire."															
288	"— Renart, n'en ai talent de rire."	"— Renart, je n'ai pas envie de rire;"															
289	"Ce poise moi qu'il sont perdu,"	"ça me pèse qu'ils soient perdus,"															
290	"Grant donmage i avon eü. »"	"nous avons eu là un grand dommage. »"															
291	"A tant s'en va Renart joianz,"	"Là-dessus Renart s'en va joyeux,"															
292	"Et cil remestrent tuit dolenz."	"et eux restent là à se plaindre."															
293	"Ce fu des enfances Renart."	"Ce fut un des exploits de jeunesse de Renart."															
294	"Tant aprist puis d'engin et d'art"	"Depuis, il a tant appris en ruse et en malice,"															
295	"Que il en fist puis maint anui"	"qu'il a causé ensuite bien des ennuis,"															
296	"Et a son oncle et a autrui."	"et à son oncle et à autrui."				"x"											
297	"Cil plet fu a tant definez,"	"Là-dessus se termine cette affaire,"			7			"x"	"Renart et Hersent"	"La rencontre"	"2009/04/renart-et-hersent-la-rencontre.html"	"https://4.bp.blogspot.com/-_TzWXn656QU/V-_Sl2zR9VI/AAAAAAAAHpk/2uyhJxIizRYrjRDKrFc0H7yAzepqCv1CQCLcB/s320/03a-raconte-le-loup.jpg"					
298	"Et Renart s'est acheminez,"	"Renart prend alors la route,"															
299	"Et s'en vet par le bois fendant."	"et s'en va en coupant à travers bois."															
